Institution Codes	Publisher/Institution	Country	Country Code	Continent
ABRI	A Rocha Kenya	Kenya	KEN	Africa
MSU	A.J. Cook Arthropod Research Collection	USA	USA	North America
ANSP	Academy of Natural Sciences	USA	USA	North America
AMU	Adam Mickiewicz University in Poznan	Poland	POL	Europe
PPRI	Agricultural Research Council	South Africa	ZAF	Africa
AJTT	Ajtte Museum	Sweden	SWE	Europe
ALMNH	Alabama Museum of Natural History	USA	USA	North America
AMNH	American Museum of Natural History	USA	USA	North America
ASNHC	Angelo State Natural History Collections	USA	USA	North America
ABS	Archbold Biological Station	USA	USA	North America
ASU	Arizona State University Biocollections	USA	USA	North America
CENPAT	ArOBIS Centro Nacional Patagonico	Argentina	ARG	South America
MACN	ArOBIS Centro Nacional Patagonico	Argentina	ARG	South America
AUM	Auburn University Museum	USA	USA	North America
AK	Auckland War Memorial Museum	New Zealand	NZL	Oceania
AWMM	Auckland War Memorial Museum	New Zealand	NZL	Oceania
MEL	Australias Virtual Herbarium	Australia	AUS	Oceania
AADC	Australian Antarctic Data Centre	Australia	AUS	Oceania
AM	Australian Museum	Australia	AUS	Oceania
AZTI	AZTI-Tecnalia	Spain	ESP	Europe
KBVE-SRBE	Belgian Biodiversity Platform	Belgium	BEL	Europe
MRAC	Belgian Biodiversity Platform	Belgium	BEL	Europe
CSCA	Berkeley Natural History Museums	USA	USA	North America
EMEC	Berkeley Natural History Museums	USA	USA	North America
UCMP	Berkeley Natural History Museums	USA	USA	North America
BPBM	Bernice Pauahi Bishop Museum	USA	USA	North America
BioFokus	Biofokus	Norway	NOR	Europe
UK Trichoptera (Caddisfly) Recording Scheme	Biological Records Centre	United Kingdom	GBR	Europe
BNHS	Bombay Natural History Society	India	IND	Asia
BYU	Brigham Young University Life Science Museum	USA	USA	North America
CAS	California Academy of Sciences	USA	USA	North America
CASC	California Academy of Sciences	USA	USA	North America
CSULB	California State University-Long Beach	USA	USA	North America
CNC	Canadian Biodiversity Information Facility - Canadian National Collection	Canada	CAN	North America
CMN	Canadian Museum of Nature	Canada	CAN	North America
CMNZ	Canterbury Museum	New Zealand	NZL	Oceania
FCMM	Caribbean OBIS Node	Venezuela	VEN	South America
CM	Carnegie Museums	USA	USA	North America
UVEG-ENV	Cavanilles Institute of Biodiversity and Evolutionary Biology-University of Valencia	Spain	ESP	Europe
EBDA	Centro de Referencia em Informacao Ambiental	Brazil	BRA	South America
CRCM	Charles R. Conner Museum	USA	USA	North America
CCBER	Cheadle Center for Biodiversity and Ecological Restoration	USA	USA	North America
UCSB	Cheadle Center for Biodiversity and Ecological Restoration	USA	USA	North America
CIB	Chengdu Institute of Biology-Chinese Academy of Science	China	CHN	Asia
CHAS	Chicago Academy of Sciences	USA	USA	North America
CU	Clemson University Arthropod Collection	USA	USA	North America
Cleveland Museum of Natural History-OH (CLEV)	Cleveland Museum of Natural History	USA	USA	North America
CMNH	Cleveland Museum of Natural History	USA	USA	North America
ULL	Coleccion del Departamento de Biologia Animal (Zoologia) de la Universidad de La Laguna	Spain	ESP	Europe
CSU	Colorado State University	USA	USA	North America
BMNH-U of M	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
CIBNOR	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
CICIMAR-IPN	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
CIIDIR-IPN	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
CINVESTAV-IPN	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
CUCBA-UDG	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
DGSV-SENASICA	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
ECOSUR	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
ENCB-IPN	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
FB-UMSNH	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
FC-UNAM	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
FCB-UANL	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
FESI-UNAM	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
FESZ-UNAM	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
FMVZ-UADY	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
IBUNAM	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
ICMyL-UNAM	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
IFIT-CP	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
IHNE	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
InDRE-SSA	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
INECOL	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
MBM-UACAM	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
MfN	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
MHNCM	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
MVZ-UCB	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
NMNH-SI	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
NO APLICA	Comision Nacional para el Conocimiento y Uso de la Biodiversidad	Mexico	MEX	North America
